Plot_ID,Habitat,Holcus_lanatus,Cerastium_fontanum,Trifolium_repens,Lychnis_flos-cuculi,Calliergonella_cuspidata,Potentilla_palustris,Eleocharis_palustris,Carex_nigra,Menyanthes_trifoliata
1,Grassland,57,7,21,3,20,0,2,1,0
2,Grassland,90,8,0,5,0,0,0,0,0
3,Grassland,20,9,14,9,15,0,3,14,2
4,Grassland,57.2,0,4,1,15,0,0,3,0
5,Grassland,45,5.1,32,0,22,0,5,12,0
6,Grassland,15,10,45,2,0,2.1,0,10,3
7,Grassland,52,4,17,6,0,0,0,10,5
8,Grassland,27,10,0,3,5,0,0,0,0
9,Grassland,47,5,10,5,15,0,6,0,0
10,Grassland,85,5,5,5,0,0,0,0,2
11,Grassland,71,8,0,8,0,0,0,6,0
12,Grassland,82,0,18,2,5,0,1,4,0
13,Grassland,20,9,0,4,18,0,2,8,5
14,Grassland,65,4,0,0,2,0,0,4,0
15,Grassland,2,6,18,7.1,1,0,2,8.1,0
16,Marsh,8,0,0,0,70.2,0,10.3,50,0
17,Marsh,5,3,0,0,50,0,0,0,22.3
18,Marsh,0,0,0,0,55,2,6,11,0
19,Marsh,3,4,0,0,40,0,0,17,0
20,Marsh,0,0,2.2,0,12,0,5,51,30
21,Marsh,1,4,0,0,10,5,6,54,12
22,Marsh,0,0,0,8,8,0,0,67,15
23,Marsh,0,5,0,0,15,0,0,45,8
24,Marsh,5,0,4,0,70,9,2,0,36
25,Marsh,0,0,1,3,53,8,0,9,50
26,Marsh,9,0,0,7,42,15,0,58,0
27,Marsh,0,4,0,0,12,0,3,34,15
28,Marsh,9,4,0,5,80,0,0,10,6
29,Marsh,0,0,5,0,42,2,5,0,15
30,Marsh,6,0,0,7,19,0,3,0,22
